volunteer_comment,id,update_contact,inadequate_food,earlier_pickup,system_problem,direction_problem,recipient_problem,donor_problem
"Your’s is an Awesome organization !

YOU are wonderful folks to work with !",743681,0,0,0,0,0,0,0
About 22 boxes of food,743397,0,0,0,0,0,0,0
2 weeks in a row no donations,750578,0,1,0,0,0,0,0
Nobody here. Left all on dock. 4 rescues.,737937,0,0,0,0,0,1,0
👍,783347,0,0,0,0,0,0,0
👍,783345,0,0,0,0,0,0,0
Always great to start the day with a 530 Food Rescue! Have a great great day everyone!,785477,0,0,0,0,0,0,0
we spoke to the manager and he said no donations today.,733908,0,1,0,0,0,0,0
Thank you very much,773553,0,0,0,0,0,0,0
sorry - I forgot to close it out!,791602,0,0,0,0,0,0,0
"it made me nervous, but it warmed my heart!",788249,0,0,0,0,0,0,0
Armita at the Mavis McMullen Place was wonderful!,743365,0,0,0,0,0,0,0
"Noah is great 
",743290,0,0,0,0,0,0,0
Two trips requied to complete the rescue,743433,0,0,0,0,0,0,0
Nice eight bucks donation from Kennedy Township John eagle coming here to the Bidwell center nice looking stuff,776291,0,0,0,0,0,0,0
Slow pickup at Kilela,743375,0,0,0,0,0,0,1
Huge donation today!,775437,0,0,0,0,0,0,0
more food than expected,791015,0,0,0,0,0,0,0
Great rescue! Gretchen and the Chick Fil A Blue Ash staff we ready and prepared and happy to load up a generous donation! The folks at Lighthouse in Clifton were delighted as always to receive the donation of delicious Chick-Fil-A product. Very kind and welcoming! Glad i could help today!,774082,0,0,0,0,0,0,0
"1 box frozen meat, 1 small box of lunch meat, 4 half gallon of skim milk….",768875,0,0,0,0,0,0,0
Things went smooth,774936,0,0,0,0,0,0,0
"3 pans of chicken, 3 pans of mashed potatoes and 2 pans of Mac raring and cheese",781382,0,0,0,0,0,0,0
Called in advance and they reported they have no donation today.,760728,0,1,0,0,0,0,0
The regular receiver at ShopRite is off this week. Replacement didn’t save much or know what day I was coming. Only one box of food rescued.,787665,0,1,0,0,0,0,1
Don’t call Salem before 10 am,775462,0,0,0,0,0,0,1
Love this.,773649,0,0,0,0,0,0,0
Items taken to kitchen area,777182,0,0,0,0,0,0,0
cool,774215,0,0,0,0,0,0,0
I will become more efficient since I did three today!!! came all the way from North Carolina!,788247,0,0,0,0,0,0,0
No produce ☹️,760750,0,1,0,0,0,0,0
Good run.,761601,0,0,0,0,0,0,0
These are just the nicest people.,756362,0,0,0,0,0,0,0
"Directions need to be updated. Level E in garage not 5. Cheryl does not answer phone. Food rescue help unresponsive, then were to call back, but didn’t. Food in flimsy al pans. Leaky. ",774101,0,0,0,0,1,0,0
"Great rescue today! So glad i could pick it up after my first rescue didn’t have anything today. The UDF at Mosteller was super ready and prepared  and helpful ! And when i got to tge drop off point in the complex, the were very grateful to have it and that someone picked it up. I voikd see by the number of peopke there, that a lot of families would benefit from this rescue! ",774094,0,0,0,0,0,0,0
Not a lot of surplus. Difficulty cobtacting syore.,787679,0,1,0,0,0,0,1
10 crates of milk is a nice donation and I'm glad I got to deliver it!,791068,0,0,0,0,0,0,0
"Les, The contact at second chance Center, no longer is there. That is his cell phone number as a contact. I just ring the doorbell and someone else answers.",764425,1,0,0,0,0,0,0
Super easy! George was so nice,791075,0,0,0,0,0,0,0
Love doing this,791144,0,0,0,0,0,0,0
Thanks For The Blessings 🩷🩷🩷,770179,0,0,0,0,0,0,0
I need a sub for next week,770495,0,0,0,0,0,0,0
"3 weeks in w row, no donation ",768099,0,1,0,0,0,0,0
Apparently there’s no rescue next week,774067,0,0,0,0,0,0,0
"Get go had  a gigantic box of clothes for me, too. I could barely get it in the car, then both boxes broke.",791425,0,0,0,0,0,0,0
More rescues should be dispersed through the city's free fridges to expand access.,791428,0,0,0,0,0,0,0
