volunteer_comment,id,update_contact,inadequate_food,earlier_pickup,system_problem,direction_problem,recipient_problem,donor_problem,positive_comment
Everyone at the pickup and drop off were amazing and so friendly!,768853,0,0,0,0,0,0,0,0
We were informed that they are making cookings a different way and will have less donations available from now on.,773895,0,0,0,0,0,0,0,1
only one box of cheese,783872,0,0,0,0,1,0,0,0
gate at CSC was closed at 4:03. unable to pick up,785523,0,0,0,0,0,0,0,0
delivered and received,770377,0,1,0,0,0,0,0,0
I should of called first. First time no food.,740893,0,1,0,0,0,0,0,1
My first Rescue from the Chico Gleaners. What a cool place! Have a great day!,785549,0,0,0,0,0,0,0,1
Needs a guide or extra instructions!,742760,0,0,0,0,0,0,0,0
No donations today,772917,0,0,0,0,0,0,0,0
2 more smaller trays were added after I took photo.,783521,0,0,0,0,0,0,0,1
"No issues

Sorry about not closing it put",768997,0,0,0,0,0,0,0,1
All good,769157,0,0,0,0,0,0,0,0
Long distance contact number Alberta,742640,0,0,0,0,0,0,0,1
Great!,769021,0,0,0,0,0,0,0,1
Left my phone at home that I didn’t realize until i was halfway to the market. Its done however,783499,0,0,0,0,0,0,0,0
They were so happy to see the goodies.  They had pulled bread out of their freezer to use for lunch only to find that it had freezer burn.  So fresh baguettes from Lebeau was a welcome treat!  And who wouldnt want a chocolate croissant with their afternoon tea?  Yum!,783373,0,0,0,0,0,0,0,1
Lots of support,743219,0,0,0,0,0,0,0,1
15 boxes,743151,0,0,0,1,0,0,0,1
"All good. Great directions to Lee’s! 

I often forget to get a signature…how important is that to you?",785384,0,0,0,0,0,0,0,0
Everyone at both places were super nice,744679,0,0,0,0,0,0,0,1
Lots of delicious sandwiches delivered to happy people! Such a joy to be a Food Rescue hero! 🥰,783559,0,0,0,0,0,0,0,0
"Spritz'n rain, but no big deal, and I got a good donation from a new restaurant I've never known before.

Hooray!",781633,0,0,0,0,0,0,0,0
figuring it out. I'll get better and better every week. Thanks bimbo bakery.,774040,0,0,0,0,0,0,0,0
No donation available,773851,0,0,0,0,0,0,0,0
7 dozen eggs delivered to frig!,786082,0,0,0,0,0,1,0,0
only gave us a box of cookies and yogurt...,733907,0,0,0,0,0,0,0,0
this is my first time. i didnt know to use the app so just did the run and only pulled out the app at the end to find the person receiving. whoops!,756158,0,0,0,0,0,0,0,1
The picture that is used to show the building is older. They have a blue sign next to the door now so I was confused if I had the right place.,769174,0,0,0,0,0,0,0,0
"Well, this was my first delivery to Cincinnati Union Bethel (CUB - Scholar House) and after a bit of an adventure, I found them and got the donation delivered.

Our app (and my own GOOGLE MAPS app) unerringly led me to 929 E. McMillan, but that address is for an art gallery. Our app's final delivery guidance note advised me to look for the destination around the side of the building, directly across from a CVS pharmacy.

Well, the day care center isn't around the corner from the art gallery, and there's no CVS pharmacy anywhere I could find, but a helpful lady at a side door of the building advised that the day care center is at the back of the building (just about directly opposite the art gallery) and she knew our contact and was able to guide me there. I was introduced to Laneisha there and she knew our contact (who had left well before I arrived) and she accepted the donation and signed off for it.

So 'All's Well That Ends Well' and so ends another minor Last Mile Food Rescue adventure!",768946,0,0,0,0,0,0,0,0
need to send in ticket re. app crashing with a white screen when trying to select the photo.,786110,0,0,0,0,0,0,0,0
The quantities of food are not being shown in the app was which is rather frustrating not knowing how much I'm supposed to be picking up,708371,0,0,0,0,0,0,0,0
cool,771912,0,0,0,0,0,0,0,1
such nice people,786165,0,0,0,0,0,0,0,0
The four bags were stuffed with prepped sandwiches and more.  They did not seem like “small bags” to me.,767435,0,0,0,1,0,0,0,1
"Successful recue! McDonalds mamager and staff in blue ash was prepared and ready to load donation into my car, even though due to unforeseen circumstances, I was a little tardy for pickup. Charles was awesome- friendly and helpful. Staff at YWCA was ready, prepared to receive and very grateful for donation, too! I apologize for my tardiness today, but was so glad that I could still help out by completing the rescue! ",768847,0,0,0,0,0,0,0,0
People were very nice and helpful.,768894,0,0,0,0,0,0,0,0
"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven.",761225,0,0,0,0,0,0,0,0
Easy delivery; less than 1 lbs of foid but every bit helps.,772344,0,1,0,0,0,0,0,1
"Acme is not as well organized, but all fine",760177,0,0,0,0,0,0,0,1
"My first run to Target. Easy to park and pick up. Helpful staff.
As always CAIN is great to work with- grateful, efficient, helpful. ",768955,0,0,0,0,0,0,0,0
really really hard to park / get out of parking at dig. yesterday was much easier earlier on so wish i had gone closer to start of window.,756159,0,0,0,0,0,0,0,0
Good,760256,0,0,0,0,0,0,0,0
Acme staff very helpful this time!    Coyld only take 8 of 12 boxes,760075,0,0,0,0,0,0,0,1
Good,760268,0,0,0,0,0,0,0,0
Good,760230,0,0,0,0,1,0,0,1
Good,760264,0,0,0,0,0,0,1,1
I got what there ways. Someone else picked up!,768899,0,0,0,0,0,0,0,1
"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven.",760885,0,0,0,0,0,0,0,1
Could not get ahold of anyone at the drop off location via text or phone call. All doors were locked. Had to leave the food in the breezeway.,788062,0,0,0,0,0,0,0,0
"really nice staffs here.  excellent 
",743102,0,0,0,0,0,0,0,0
