volunteer_comment,recipient_problem,inadequate_food,donor_problem,direction_problem,earlier_pickup,system_problem,update_contact,positive_comment
Everyone at the pickup and drop off were amazing and so friendly!,False,False,False,False,False,False,False,Everyone at the pickup and drop off were amazing and so friendly!
We were informed that they are making cookings a different way and will have less donations available from now on.,False,True,True,False,False,False,False,False
only one box of cheese,False,True,False,False,True,False,False,False
gate at CSC was closed at 4:03. unable to pick up,False,False,True,False,False,False,False,
delivered and received,False,False,False,False,False,False,False,False
I should of called first. First time no food.,False,True,False,False,True,False,False,False
My first Rescue from the Chico Gleaners. What a cool place! Have a great day!,False,False,False,False,False,False,False,My first Rescue from the Chico Gleaners. What a cool place! Have a great day!
Needs a guide or extra instructions!,False,False,True,True,False,False,False,False
No donations today,False,True,False,False,False,False,False,False
2 more smaller trays were added after I took photo.,False,False,False,False,False,False,False,False
"No issues

Sorry about not closing it put",False,False,False,False,False,False,False,True
All good,False,False,False,False,False,False,False,All good
Long distance contact number Alberta,False,False,True,True,False,False,False,False
Great!,False,False,False,False,False,False,False,Great!
Left my phone at home that I didn’t realize until i was halfway to the market. Its done however,False,False,False,False,False,False,False,False
They were so happy to see the goodies.  They had pulled bread out of their freezer to use for lunch only to find that it had freezer burn.  So fresh baguettes from Lebeau was a welcome treat!  And who wouldnt want a chocolate croissant with their afternoon tea?  Yum!,False,False,False,False,False,False,False,They were so happy to see the goodies. So fresh baguettes from Lebeau was a welcome treat! And who wouldnt want a chocolate croissant with their afternoon tea? Yum!
Lots of support,False,False,False,False,False,False,False,Lots of support
15 boxes,False,False,False,False,False,False,False,No explicit praise found.
"All good. Great directions to Lee’s! 

I often forget to get a signature…how important is that to you?",False,False,False,False,False,False,False,Great directions to Lee’s!
Everyone at both places were super nice,False,False,False,False,False,False,False,Everyone at both places were super nice
Lots of delicious sandwiches delivered to happy people! Such a joy to be a Food Rescue hero! 🥰,False,False,False,False,False,False,False,Lots of delicious sandwiches delivered to happy people! Such a joy to be a Food Rescue hero! 🥰
"Spritz'n rain, but no big deal, and I got a good donation from a new restaurant I've never known before.

Hooray!",False,False,False,False,False,False,False,Hooray!
figuring it out. I'll get better and better every week. Thanks bimbo bakery.,False,False,False,False,False,False,False,Thanks Bimbo Bakery.
No donation available,False,True,False,False,True,False,False,
7 dozen eggs delivered to frig!,False,False,False,False,False,False,False,"The volunteer successfully delivered a substantial amount of eggs, showcasing efficient and reliable service."
only gave us a box of cookies and yogurt...,False,True,False,False,True,False,False,False
this is my first time. i didnt know to use the app so just did the run and only pulled out the app at the end to find the person receiving. whoops!,False,False,False,False,False,False,False,"First time experience, expressed excitement about participating in the food rescue."
The picture that is used to show the building is older. They have a blue sign next to the door now so I was confused if I had the right place.,False,False,True,True,False,False,False,False
"Well, this was my first delivery to Cincinnati Union Bethel (CUB - Scholar House) and after a bit of an adventure, I found them and got the donation delivered.

Our app (and my own GOOGLE MAPS app) unerringly led me to 929 E. McMillan, but that address is for an art gallery. Our app's final delivery guidance note advised me to look for the destination around the side of the building, directly across from a CVS pharmacy.

Well, the day care center isn't around the corner from the art gallery, and there's no CVS pharmacy anywhere I could find, but a helpful lady at a side door of the building advised that the day care center is at the back of the building (just about directly opposite the art gallery) and she knew our contact and was able to guide me there. I was introduced to Laneisha there and she knew our contact (who had left well before I arrived) and she accepted the donation and signed off for it.

So 'All's Well That Ends Well' and so ends another minor Last Mile Food Rescue adventure!",True,False,False,True,True,True,True,"Well, 'All's Well That Ends Well' and so ends another minor Last Mile Food Rescue adventure!"
need to send in ticket re. app crashing with a white screen when trying to select the photo.,False,False,False,False,False,True,False,
The quantities of food are not being shown in the app was which is rather frustrating not knowing how much I'm supposed to be picking up,False,True,True,False,False,True,False,
cool,False,False,False,False,False,False,False,The feedback from the volunteer lacks sufficient detail to be classified as a positive comment specifically praising the food rescue organization.
such nice people,False,False,False,False,False,False,False,such nice people
