volunteer_comment,recipient_problem,inadequate_food,donor_problem,direction_problem,earlier_pickup,system_problem,update_contact,positive_comment
Everyone at the pickup and drop off were amazing and so friendly!,False,False,False,False,False,False,False,True
We were informed that they are making cookings a different way and will have less donations available from now on.,False,True,True,False,False,False,False,False
only one box of cheese,False,True,False,False,False,False,False,False
gate at CSC was closed at 4:03. unable to pick up,False,False,True,False,False,False,False,False
delivered and received,False,False,False,False,False,False,False,False
I should of called first. First time no food.,False,True,False,False,False,False,False,False
My first Rescue from the Chico Gleaners. What a cool place! Have a great day!,False,False,False,False,False,False,False,True
Needs a guide or extra instructions!,True,False,True,True,False,False,False,False
No donations today,False,True,False,False,False,False,False,False
2 more smaller trays were added after I took photo.,False,False,False,False,False,False,False,False
"No issues

Sorry about not closing it put",False,False,False,False,False,False,False,False
All good,False,False,False,False,False,False,False,False
Long distance contact number Alberta,True,False,True,True,False,False,False,False
Great!,False,False,False,False,False,False,False,True
Left my phone at home that I didn’t realize until i was halfway to the market. Its done however,False,False,False,False,False,False,False,False
They were so happy to see the goodies.  They had pulled bread out of their freezer to use for lunch only to find that it had freezer burn.  So fresh baguettes from Lebeau was a welcome treat!  And who wouldnt want a chocolate croissant with their afternoon tea?  Yum!,False,False,False,False,False,False,False,False
Lots of support,False,False,False,False,False,False,False,True
15 boxes,False,False,False,False,False,False,False,False
"All good. Great directions to Lee’s! 

I often forget to get a signature…how important is that to you?",False,False,False,False,False,False,False,False
Everyone at both places were super nice,False,False,False,False,False,False,False,True
Lots of delicious sandwiches delivered to happy people! Such a joy to be a Food Rescue hero! 🥰,False,False,False,False,False,False,False,True
"Spritz'n rain, but no big deal, and I got a good donation from a new restaurant I've never known before.

Hooray!",False,False,False,False,False,False,False,True
figuring it out. I'll get better and better every week. Thanks bimbo bakery.,False,False,False,False,False,False,False,False
No donation available,False,True,False,False,False,False,False,False
7 dozen eggs delivered to frig!,False,False,False,False,False,False,False,False
only gave us a box of cookies and yogurt...,False,True,False,False,False,False,False,False
this is my first time. i didnt know to use the app so just did the run and only pulled out the app at the end to find the person receiving. whoops!,False,False,False,False,False,False,False,False
The picture that is used to show the building is older. They have a blue sign next to the door now so I was confused if I had the right place.,True,False,False,True,False,False,False,False
"Well, this was my first delivery to Cincinnati Union Bethel (CUB - Scholar House) and after a bit of an adventure, I found them and got the donation delivered.

Our app (and my own GOOGLE MAPS app) unerringly led me to 929 E. McMillan, but that address is for an art gallery. Our app's final delivery guidance note advised me to look for the destination around the side of the building, directly across from a CVS pharmacy.

Well, the day care center isn't around the corner from the art gallery, and there's no CVS pharmacy anywhere I could find, but a helpful lady at a side door of the building advised that the day care center is at the back of the building (just about directly opposite the art gallery) and she knew our contact and was able to guide me there. I was introduced to Laneisha there and she knew our contact (who had left well before I arrived) and she accepted the donation and signed off for it.

So 'All's Well That Ends Well' and so ends another minor Last Mile Food Rescue adventure!",True,False,False,True,False,True,False,True
need to send in ticket re. app crashing with a white screen when trying to select the photo.,False,False,False,False,False,True,False,False
The quantities of food are not being shown in the app was which is rather frustrating not knowing how much I'm supposed to be picking up,False,False,True,False,False,True,False,False
cool,False,False,False,False,False,False,False,False
such nice people,False,False,False,False,False,False,False,True
The four bags were stuffed with prepped sandwiches and more.  They did not seem like “small bags” to me.,False,False,False,False,False,False,False,False
"Successful recue! McDonalds mamager and staff in blue ash was prepared and ready to load donation into my car, even though due to unforeseen circumstances, I was a little tardy for pickup. Charles was awesome- friendly and helpful. Staff at YWCA was ready, prepared to receive and very grateful for donation, too! I apologize for my tardiness today, but was so glad that I could still help out by completing the rescue! ",False,False,False,False,False,False,False,True
People were very nice and helpful.,False,False,False,False,False,False,False,True
"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven.",False,False,False,False,False,False,False,False
Easy delivery; less than 1 lbs of foid but every bit helps.,False,True,False,False,False,False,False,True
"Acme is not as well organized, but all fine",False,False,True,False,False,False,False,False
"My first run to Target. Easy to park and pick up. Helpful staff.
As always CAIN is great to work with- grateful, efficient, helpful. ",False,False,False,False,False,False,False,True
really really hard to park / get out of parking at dig. yesterday was much easier earlier on so wish i had gone closer to start of window.,False,False,False,False,False,False,False,False
Good,False,False,False,False,False,False,False,False
Acme staff very helpful this time!    Coyld only take 8 of 12 boxes,False,False,False,False,False,False,False,False
Good,False,False,False,False,False,False,False,False
Good,False,False,False,False,False,False,False,False
Good,False,False,False,False,False,False,False,False
I got what there ways. Someone else picked up!,False,False,False,False,True,False,False,False
"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven.",False,False,False,False,False,False,False,False
Could not get ahold of anyone at the drop off location via text or phone call. All doors were locked. Had to leave the food in the breezeway.,True,False,False,False,False,False,False,False
"really nice staffs here.  excellent 
",False,False,False,False,False,False,False,True
"All went well, but im still adjusting to the app....have been a little late in my inputs, however all pick-ups and deliveries have been on time
- Allen",False,False,False,False,False,False,False,True
No produce ☹️,False,True,False,False,False,False,False,False
Super big order. TJ's Saturday share partner pickup didn't happen. Jim saved the day with his van.,False,False,False,False,False,False,False,False
Great team effort.  Thanks for the greatly needed addition of spare boxes for us to give out food in.,False,False,False,False,False,False,False,True
"cool
",False,False,False,False,False,False,False,False
"The boxes were very heavy, I couldn't carry one of them by myself. if the restaurant could put fewer things in more boxes, I think that would make it easier for transporting :) ",False,False,False,False,False,False,False,False
The initial organization for drop off was not present and the lack of communication was unprofessional. But delivering to wayside was exponentially better than where we were supposed to go.,True,False,False,False,False,False,False,False
"The place that I was supposed to go to, was closed and I drove far away to it and no one was there but I ended up getting to drop the donations off at wayside and seeing the faces of those we helped was amazing ",True,False,True,False,False,False,False,True
"One modest birthday cake sized box of non-nutricious pastries to a fire station in a rich town - I wholly agree that we need to help look after our emergency services people as we’d be lost without them, just don’t think this was in line with the vast majority of other rescues.",False,False,False,False,False,False,False,False
"I'm not sure the hospital knows we are volunteers: a different employee helped this week and she acted like I should have a cart of my own and was offended when I explained that the last few weeks they just wheeled the car out to my car, exclaiming ""YOU can wheel it to your car, but bring it back!"" She was dressed in dress clothes, not their usual uniform so I think she was a manager. 

The recipients were wonderful, though! :) They brought extra people to help carry everything and were very happy to get protein this week! ",False,False,True,False,False,False,False,False
"Well, no donation, but it wasn't a total loss. I discovered they have a great cafeteria! (Not that I'm likely to ever have an opportunity to enjoy it, but it's still a nice one).",False,True,False,False,False,False,False,False
closer to 1 is best they request call ahead,True,False,True,False,False,False,False,False
my most delighted recipient yet :-),False,False,False,False,False,False,False,True
⭐️,False,False,False,False,False,False,False,False
Chabasso had production issues and did not have enough bread to fulfill donation,False,True,False,False,False,False,False,False
took milk from Quinnipiac also,False,False,False,False,False,False,True,False
delivered and received,False,False,False,False,False,False,False,False
"(part 2)  20 boxes to Franklin, also good ",False,False,False,False,False,False,False,True
"6 crates bakery
1 crate produce
1 crate deli
3 crates frozen",False,False,False,False,False,False,False,False
Difficult to find parking,False,False,False,False,False,False,False,False
"No donations available, staff at UDF was very friendly on the phone",False,True,False,False,False,False,False,False
"Dock mgr will be checking why donations so light the last few weeks. Normally there have been bakery items but they may not be pulling the markdown items fron the shelves until
Later in the  day.  They rarely have deli items or produce to  donate. ",False,True,False,False,False,False,False,False
