volunteer_comment,update_contact,inadequate_food,earlier_pickup,system_problem,direction_problem,recipient_problem,donor_problem,positive_comment
Everyone at the pickup and drop off were amazing and so friendly!,1,1,1,1,1,0,0,1
We were informed that they are making cookings a different way and will have less donations available from now on.,1,1,1,1,0,0,0,1
only one box of cheese,0,1,1,1,0,0,0,1
gate at CSC was closed at 4:03. unable to pick up,0,1,1,1,1,1,0,1
delivered and received,1,1,1,1,1,0,0,1
I should of called first. First time no food.,0,1,1,1,0,1,0,1
My first Rescue from the Chico Gleaners. What a cool place! Have a great day!,0,1,1,1,1,0,0,1
Needs a guide or extra instructions!,0,1,1,1,0,0,0,1
No donations today,0,1,1,1,0,0,0,1
2 more smaller trays were added after I took photo.,0,1,1,1,1,1,0,1
"No issues

Sorry about not closing it put",0,1,1,1,0,0,0,1
All good,0,1,1,1,0,0,0,1
Long distance contact number Alberta,1,1,1,1,1,0,0,1
Great!,0,1,1,1,1,0,0,1
Left my phone at home that I didn’t realize until i was halfway to the market. Its done however,0,1,1,1,1,1,0,1
They were so happy to see the goodies.  They had pulled bread out of their freezer to use for lunch only to find that it had freezer burn.  So fresh baguettes from Lebeau was a welcome treat!  And who wouldnt want a chocolate croissant with their afternoon tea?  Yum!,1,1,1,1,0,0,0,1
Lots of support,0,1,1,1,0,0,0,1
15 boxes,0,1,1,1,0,0,0,1
"All good. Great directions to Lee’s! 

I often forget to get a signature…how important is that to you?",0,1,1,1,1,1,0,1
Everyone at both places were super nice,0,1,1,1,1,1,0,1
Lots of delicious sandwiches delivered to happy people! Such a joy to be a Food Rescue hero! 🥰,0,1,1,1,0,1,0,1
"Spritz'n rain, but no big deal, and I got a good donation from a new restaurant I've never known before.

Hooray!",1,1,1,1,1,0,0,1
figuring it out. I'll get better and better every week. Thanks bimbo bakery.,1,1,1,1,0,0,0,1
No donation available,1,1,1,1,0,0,0,1
7 dozen eggs delivered to frig!,0,1,1,1,1,1,0,1
only gave us a box of cookies and yogurt...,0,1,1,1,0,0,0,1
this is my first time. i didnt know to use the app so just did the run and only pulled out the app at the end to find the person receiving. whoops!,1,1,1,1,1,0,0,1
The picture that is used to show the building is older. They have a blue sign next to the door now so I was confused if I had the right place.,1,1,1,1,1,0,0,1
"Well, this was my first delivery to Cincinnati Union Bethel (CUB - Scholar House) and after a bit of an adventure, I found them and got the donation delivered.

Our app (and my own GOOGLE MAPS app) unerringly led me to 929 E. McMillan, but that address is for an art gallery. Our app's final delivery guidance note advised me to look for the destination around the side of the building, directly across from a CVS pharmacy.

Well, the day care center isn't around the corner from the art gallery, and there's no CVS pharmacy anywhere I could find, but a helpful lady at a side door of the building advised that the day care center is at the back of the building (just about directly opposite the art gallery) and she knew our contact and was able to guide me there. I was introduced to Laneisha there and she knew our contact (who had left well before I arrived) and she accepted the donation and signed off for it.

So 'All's Well That Ends Well' and so ends another minor Last Mile Food Rescue adventure!",1,1,1,1,1,0,0,1
need to send in ticket re. app crashing with a white screen when trying to select the photo.,1,1,1,1,1,1,0,1
The quantities of food are not being shown in the app was which is rather frustrating not knowing how much I'm supposed to be picking up,0,1,1,1,1,1,0,1
cool,0,1,1,1,0,0,0,1
such nice people,0,1,1,1,0,0,0,1
The four bags were stuffed with prepped sandwiches and more.  They did not seem like “small bags” to me.,1,1,1,1,1,0,0,1
"Successful recue! McDonalds mamager and staff in blue ash was prepared and ready to load donation into my car, even though due to unforeseen circumstances, I was a little tardy for pickup. Charles was awesome- friendly and helpful. Staff at YWCA was ready, prepared to receive and very grateful for donation, too! I apologize for my tardiness today, but was so glad that I could still help out by completing the rescue! ",1,1,1,1,1,0,0,1
People were very nice and helpful.,1,1,1,1,1,0,0,1
"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven.",1,1,1,1,1,0,0,1
Easy delivery; less than 1 lbs of foid but every bit helps.,0,1,1,1,0,0,0,1
"Acme is not as well organized, but all fine",0,1,1,1,0,0,0,1
"My first run to Target. Easy to park and pick up. Helpful staff.
As always CAIN is great to work with- grateful, efficient, helpful. ",1,1,1,1,1,0,0,1
really really hard to park / get out of parking at dig. yesterday was much easier earlier on so wish i had gone closer to start of window.,0,1,1,1,0,1,0,1
Good,0,1,1,1,0,0,0,1
Acme staff very helpful this time!    Coyld only take 8 of 12 boxes,0,1,1,1,0,0,0,1
Good,0,1,1,1,0,0,0,1
Good,0,1,1,1,0,0,0,1
Good,0,1,1,1,0,0,0,1
I got what there ways. Someone else picked up!,0,1,1,1,1,0,0,1
"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven.",1,1,1,1,1,0,0,1
Could not get ahold of anyone at the drop off location via text or phone call. All doors were locked. Had to leave the food in the breezeway.,0,1,1,1,1,1,0,1
"really nice staffs here.  excellent 
",0,1,1,1,0,0,0,1
"All went well, but im still adjusting to the app....have been a little late in my inputs, however all pick-ups and deliveries have been on time
- Allen",1,1,1,1,1,0,0,1
No produce ☹️,0,1,1,1,0,0,0,1
Super big order. TJ's Saturday share partner pickup didn't happen. Jim saved the day with his van.,0,1,1,1,1,0,0,1
Great team effort.  Thanks for the greatly needed addition of spare boxes for us to give out food in.,1,1,1,1,1,1,0,1
"cool
",0,1,1,1,0,0,0,1
"The boxes were very heavy, I couldn't carry one of them by myself. if the restaurant could put fewer things in more boxes, I think that would make it easier for transporting :) ",1,1,1,1,1,0,0,1
The initial organization for drop off was not present and the lack of communication was unprofessional. But delivering to wayside was exponentially better than where we were supposed to go.,0,1,1,1,0,1,0,1
"The place that I was supposed to go to, was closed and I drove far away to it and no one was there but I ended up getting to drop the donations off at wayside and seeing the faces of those we helped was amazing ",1,1,1,1,0,1,0,1
"One modest birthday cake sized box of non-nutricious pastries to a fire station in a rich town - I wholly agree that we need to help look after our emergency services people as we’d be lost without them, just don’t think this was in line with the vast majority of other rescues.",0,1,1,1,0,0,0,1
